rocket_family,mission,rocket,provider,launch_date,launch_site,location,status
Thor DM-21 Agena-B,Discoverer 35,Thor DM-21 Agena-B,United States Air Force,1961-11-15 21:22:46+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Ablestar,Transit 4B & TRAAC,Thor DM-21 Ablestar,United States Air Force,1961-11-15 22:26:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas LV-3A,Ranger 2,Atlas Agena B,United States Air Force,1961-11-18 08:12:00+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Failure
Atlas LV-3A,Samos 4,Atlas Agena B,United States Air Force,1961-11-22 20:45:47+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Failure
Atlas LV-3B,Mercury-Atlas 5,Atlas LV-3B,National Aeronautics and Space Administration,1961-11-29 15:07:57+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Blue Scout Jr,Blue Scout Jr. O-2,Blue Scout Jr,United States Air Force,1961-12-04 04:00:16+00:00,Launch Complex A,"Vandenberg SFB, CA, USA",Launch Successful
Vostok-K,Zenit-2 1,Vostok,Soviet Space Program,1961-12-11 09:39:02+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor DM-21 Agena-B,Discoverer 36 & OSCAR 1,Thor DM-21 Agena-B,United States Air Force,1961-12-12 20:40:00+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-2I 63S1,DS-1 2,Kosmos-2I 63S1,Strategic Rocket Forces,1961-12-21 12:30:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure
Atlas LV-3A,Samos 5,Atlas Agena B,United States Air Force,1961-12-22 19:12:33+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch was a Partial Failure
Thor DM-21 Agena-B,Discoverer 37,Thor DM-21 Agena-B,United States Air Force,1962-01-13 21:41:02+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Thor DM-21 Ablestar,5 Payloads Rideshare,Thor DM-21 Ablestar,United States Air Force,1962-01-24 09:30:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Failure
Atlas Agena B,Ranger 3,Atlas Agena B,United States Air Force,1962-01-26 20:30:11+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Delta,Tiros 4,Thor Delta,United States Air Force,1962-02-08 12:43:45+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas LV-3B,Mercury-Atlas 6,Atlas LV-3B,National Aeronautics and Space Administration,1962-02-20 14:47:39+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Agena-B,P-102 Group 0-D,Thor DM-21 Agena-B,United States Air Force,1962-02-21 18:44:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Agena-B,KH-4 1,Thor DM-21 Agena-B,United States Air Force,1962-02-27 19:39:20+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta,OSO 1,Thor Delta,United States Air Force,1962-03-07 16:06:18+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
