rocket_family,mission,rocket,provider,launch_date,launch_site,location,status
Kosmos-2I 63S1,DS-P1-Yu 6,Kosmos-2I 63S1,Soviet Space Program,1966-07-08 05:31:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Atlas SLV-3 Agena D,KH-7 30,Atlas SLV-3 Agena D,United States Air Force,1966-07-12 17:55:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas D,OV1-7,Atlas D,United States Air Force,1966-07-14 02:10:02+00:00,576B3,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-2 40,Voskhod,Soviet Space Program,1966-07-14 10:25:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,GATV 10,Atlas SLV-3 Agena D,United States Air Force,1966-07-18 20:39:46+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Titan II GLV,Gemini X,Titan II,National Aeronautics and Space Administration,1966-07-18 22:20:26+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Soyuz 11A510,US-AO 2,Soyuz 11A510,Soviet Space Program,1966-07-20 08:58:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-4 20,Voskhod,Soviet Space Program,1966-07-28 10:50:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Titan IIIB,KH-8 1,Titan IIIB,United States Air Force,1966-07-29 18:30:20+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Scout B,OV3-3,Scout B,United States Air Force,1966-08-04 10:45:01+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 21,Voskhod,Soviet Space Program,1966-08-08 11:29:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thorad SLV-2G Agena D,KH-4A 35,Thorad SLV-2G Agena D,United States Air Force,1966-08-09 20:46:03+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas SLV-3 Agena D,Lunar Orbiter I,Atlas SLV-3 Agena D,United States Air Force,1966-08-10 19:26:00+00:00,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3 Agena D,KH-7 31,Atlas SLV-3 Agena D,United States Air Force,1966-08-16 18:30:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta E1,Pioneer 7,Thor Delta E1,United States Air Force,1966-08-17 15:20:17+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Scout A,Transit-O 10,Scout A,United States Air Force,1966-08-18 02:25:02+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Atlas SLV-3 Agena D,RTS-1 2,Atlas SLV-3 Agena D,United States Air Force,1966-08-19 19:25:00+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
Molniya-M,Luna-11,Molniya-M,Soviet Space Program,1966-08-24 08:03:21+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Saturn IB,Apollo AS-202,Saturn IB,National Aeronautics and Space Administration,1966-08-25 17:15:32+00:00,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful
Titan IIIC,IDCSP 8 to 14,Titan IIIC,United States Air Force,1966-08-26 13:59:56+00:00,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Failure
Voskhod,Zenit-4 22,Voskhod,Soviet Space Program,1966-08-27 09:50:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,GATV 11,Atlas SLV-3 Agena D,United States Air Force,1966-09-12 13:05:02+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Titan II GLV,Gemini XI,Titan II,National Aeronautics and Space Administration,1966-09-12 14:42:26+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Burner 2,DSAP-4A F1,Thor Burner 2,United States Air Force,1966-09-16 04:36:09+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 41,Vostok 8A92,Soviet Space Program,1966-09-16 09:30:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Atlas SLV-3 Agena D,KH-7 32,Atlas SLV-3 Agena D,United States Air Force,1966-09-16 17:59:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Nike Cajun,Trailblazer Pellet,Nike Cajun,National Aeronautics and Space Administration,1966-09-17 01:57:00+00:00,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful
R-36O 8K69,OGCh 5,R-36O 8K69,Soviet Space Program,1966-09-17 22:35:00+00:00,162/36,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas Centaur D,Surveyor 2,Atlas Centaur D,United States Air Force,1966-09-20 12:32:00+00:00,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 36,Thor SLV-2A Agena D,United States Air Force,1966-09-20 21:14:05+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Lambda 4S,Ohsumi 1,Lambda 4S,Institute of Space and Astronautical Science,1966-09-26 02:58:00+00:00,KS Center,"Uchinoura Space Center, Japan",Launch Failure
Titan IIIB,KH-8 2,Titan IIIB,United States Air Force,1966-09-28 19:07:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta E,ESSA 3,Thor Delta E,United States Air Force,1966-10-02 10:39:03+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas SLV-3 Agena D,RTS-1 3,Atlas SLV-3 Agena D,United States Air Force,1966-10-05 22:00:00+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas SLV-3 Agena D,KH-7 33,Atlas SLV-3 Agena D,United States Air Force,1966-10-12 19:15:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 42,Vostok 8A92,Soviet Space Program,1966-10-14 12:13:08+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Molniya 8K78,Molniya-1 4,Molniya 8K78,Soviet Space Program,1966-10-20 07:50:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-4 23,Voskhod,Soviet Space Program,1966-10-20 08:46:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Molniya-M,Luna-12,Molniya-M,Soviet Space Program,1966-10-22 08:42:26+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas Centaur D,Surveyor Model 3,Atlas Centaur D,United States Air Force,1966-10-26 11:12:02+00:00,Launch Complex 36B,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Delta E1,INTELSAT II F-1,Thor Delta E1,United States Air Force,1966-10-26 23:05:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Scout B,OV3-2,Scout B,United States Air Force,1966-10-28 11:56:02+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
X-15,Flight 174,North American X-15,United States Air Force,1966-11-01 21:24:00+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
R-36O 8K69,OGCh 6,R-36O 8K69,Soviet Space Program,1966-11-02 00:45:03+00:00,162/36,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Atlas SLV-3 Agena D,KH-7 34,Atlas SLV-3 Agena D,United States Air Force,1966-11-02 20:24:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Titan IIIC,Gemini B,Titan IIIC,United States Air Force,1966-11-03 13:50:42+00:00,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3 Agena D,Lunar Orbiter 2,Atlas SLV-3 Agena D,United States Air Force,1966-11-06 23:21:00+00:00,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful
Thorad SLV-2G Agena D,KH-4A 37,Thorad SLV-2G Agena D,United States Air Force,1966-11-08 19:53:02+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas SLV-3 Agena D,GATV 12,Atlas SLV-3 Agena D,United States Air Force,1966-11-11 19:07:59+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Titan II GLV,Gemini XII,Titan II,National Aeronautics and Space Administration,1966-11-11 20:46:33+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-4 24,Voskhod,Soviet Space Program,1966-11-12 09:50:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Kosmos 11K65,Strela-2 2,Kosmos 11K65,Soviet Space Program,1966-11-16 13:00:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Vostok 8A92,Zenit-2 43,Vostok 8A92,Soviet Space Program,1966-11-19 08:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Soyuz,Kosmos 133,Soyuz,Soviet Space Program,1966-11-28 11:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-4 25,Voskhod,Soviet Space Program,1966-12-03 08:15:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,KH-7 35,Atlas SLV-3 Agena D,United States Air Force,1966-12-05 21:09:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas SLV-3 Agena D,ATS 1,Atlas SLV-3 Agena D,United States Air Force,1966-12-07 02:12:01+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas D,OV1-9 & 10,Atlas D,United States Air Force,1966-12-11 21:09:57+00:00,576B3,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos 11K63,DS-U2-MP 1,Kosmos 11K63,Soviet Space Program,1966-12-12 20:38:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Soyuz,Soyuz 7K-OK No.1,Soyuz,Soviet Space Program,1966-12-14 11:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Titan IIIB,KH-8 3,Titan IIIB,United States Air Force,1966-12-14 18:14:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta G,Biosat 1,Thor Delta G,United States Air Force,1966-12-14 19:20:03+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok 8A92,Zenit-2 44,Vostok 8A92,Soviet Space Program,1966-12-19 12:00:01+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Lambda 4S,Ohsumi 2,Lambda 4S,Institute of Space and Astronautical Science,1966-12-20 02:20:00+00:00,KS Center,"Uchinoura Space Center, Japan",Launch Failure
Molniya-M,Luna-13,Molniya-M,Soviet Space Program,1966-12-21 10:17:08+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-2I 63S1,DS-U2-D 1,Kosmos-2I 63S1,Soviet Space Program,1966-12-21 13:12:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Atlas SLV-3,PRIME 1,Atlas SLV-3,United States Air Force,1966-12-21 22:15:02+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena D,Multigroup 1 & Setter 1A,Thor SLV-2A Agena D,United States Air Force,1966-12-29 12:00:06+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta E1,INTELSAT II F-2,Thor Delta E1,United States Air Force,1967-01-11 10:55:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 38,Thor SLV-2A Agena D,United States Air Force,1967-01-14 21:28:21+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Titan IIIC,IDCSP 8 to 15,Titan IIIC,United States Air Force,1967-01-18 14:19:08+00:00,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok 8A92,Zenit-2 45,Vostok 8A92,Soviet Space Program,1967-01-19 12:39:59+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
R-36O 8K69,OGCh 7,R-36O 8K69,Soviet Space Program,1967-01-25 13:55:01+00:00,162/36,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta E,ESSA 4,Thor Delta E,United States Air Force,1967-01-26 17:31:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Saturn IB,Apollo 1 (Failure before launch),Saturn IB,National Aeronautics and Space Administration,1967-01-27 23:31:19+00:00,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Failure
Scout B,OV3-5,Scout B,United States Air Force,1967-01-31 12:45:01+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure
Atlas SLV-3 Agena D,KH-7 36,Atlas SLV-3 Agena D,United States Air Force,1967-02-02 20:00:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas SLV-3 Agena D,Lunar Orbiter 3,Atlas SLV-3 Agena D,United States Air Force,1967-02-05 01:17:01+00:00,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful
Soyuz,Kosmos 140,Soyuz,Soviet Space Program,1967-02-07 03:20:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Burner 2,DSAP-4A F2,Thor Burner 2,United States Air Force,1967-02-08 08:00:52+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Diamant A,Diademe D-1C,Diamant A,National Center of Space Research,1967-02-08 09:39:39+00:00,Brigitte,"Interarmy Special Vehicles Test Centre, French Algeria",Launch Successful
Voskhod,Zenit-4 26,Voskhod,Soviet Space Program,1967-02-08 10:19:59+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Trailblazer 2,Trailblazer Pellet,Trailblazer 2,National Aeronautics and Space Administration,1967-02-14 05:52:00+00:00,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful
Kosmos 11K63,DS-U2-I 2,Kosmos 11K63,Soviet Space Program,1967-02-14 10:04:56+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Diamant A,Diademe D-1D,Diamant A,National Center of Space Research,1967-02-15 10:06:57+00:00,Brigitte,"Interarmy Special Vehicles Test Centre, French Algeria",Launch Successful
Thor SLV-2A Agena D,KH-4A 39,Thor SLV-2A Agena D,United States Air Force,1967-02-22 22:02:15+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Titan IIIB,KH-8 4,Titan IIIB,United States Air Force,1967-02-24 19:59:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 46,Vostok 8A92,Soviet Space Program,1967-02-27 08:45:01+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vostok 8A92M,Meteor-1 6,Vostok 8A92M,Soviet Space Program,1967-02-28 14:34:59+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Kosmos 11K63,DS-U2-M 2,Kosmos 11K63,Soviet Space Program,1967-03-03 06:44:58+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Atlas SLV-3,PRIME 2,Atlas SLV-3,United States Air Force,1967-03-05 23:05:00+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta C,OSO 3,Thor Delta C,United States Air Force,1967-03-08 16:12:00+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Proton / UR-500 K/D,Kosmos 146,Proton,Soviet Space Program,1967-03-10 11:30:33+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vostok 8A92,Zenit-2 47,Vostok 8A92,Soviet Space Program,1967-03-13 12:10:23+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Kosmos 11K63,DS-P1-I 2,Kosmos 11K63,Soviet Space Program,1967-03-16 17:30:00+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Kosmos 11K63,DS-MO 1,Kosmos 11K63,Soviet Space Program,1967-03-21 10:07:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Voskhod,Zenit-4 27,Voskhod,Soviet Space Program,1967-03-22 12:44:59+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
R-36O 8K69,OGCh 8,R-36O 8K69,Soviet Space Program,1967-03-22 14:05:02+00:00,161/35,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor Delta E1,INTELSAT II F-3,Thor Delta E1,United States Air Force,1967-03-23 01:30:12+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos 11K65,Strela-2 3,Kosmos 11K65,Soviet Space Program,1967-03-24 11:50:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos 11K63,DS-P1-Yu 7,Kosmos 11K63,Soviet Space Program,1967-03-25 06:59:30+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Thor SLV-2A Agena D,KH-4A 40,Thor SLV-2A Agena D,United States Air Force,1967-03-30 18:54:23+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 48,Vostok 8A92,Soviet Space Program,1967-04-04 14:00:02+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Atlas SLV-3 Agena D,ATS 2,Atlas SLV-3 Agena D,United States Air Force,1967-04-06 03:23:01+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Proton / UR-500 K/D,Kosmos 154,Proton,Soviet Space Program,1967-04-08 09:00:33+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Voskhod,Zenit-4 28,Voskhod,Soviet Space Program,1967-04-12 10:51:02+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Lambda 4S,Ohsumi 3,Lambda 4S,Institute of Space and Astronautical Science,1967-04-13 02:40:00+00:00,KS Center,"Uchinoura Space Center, Japan",Launch Failure
Scout A,Transit-O 12,Scout A,United States Air Force,1967-04-14 03:25:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Centaur D,Surveyor 3,Atlas Centaur D,United States Air Force,1967-04-17 07:05:01+00:00,Launch Complex 36B,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3,PRIME 3,Atlas SLV-3,United States Air Force,1967-04-20 01:35:01+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta E,ESSA 5,Thor Delta E,United States Air Force,1967-04-20 11:21:10+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Soyuz,Soyuz 1,Soyuz,Soviet Space Program,1967-04-23 00:35:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout B,San Marco 2,Scout B,National Research Council,1967-04-26 10:06:24+00:00,San Marco platform,"Broglio Space Center, Kenya",Launch Successful
Titan IIIB,KH-8 5,Titan IIIB,United States Air Force,1967-04-26 18:00:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Failure
Vostok 8A92M,Meteor-1 7,Vostok 8A92M,Soviet Space Program,1967-04-27 12:50:02+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Titan IIIC,Vela 4A & 4B,Titan IIIC,United States Air Force,1967-04-28 10:01:01+00:00,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3 Agena D,Lunar Orbiter 4,Atlas SLV-3 Agena D,United States Air Force,1967-05-04 22:25:00+00:00,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful
Scout A,Ariel 3,Scout A,Science and Engineering Research Council,1967-05-05 16:00:01+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Thorad SLV-2G Agena D,KH-4A 41,Thorad SLV-2G Agena D,United States Air Force,1967-05-09 21:50:42+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 49,Vostok 8A92,Soviet Space Program,1967-05-12 10:30:01+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-3M,Zaliv-GVM 1,Kosmos-3M,Soviet Space Program,1967-05-15 11:00:00+00:00,132/2,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Molniya-M,Ye-6LS 111,Molniya-M,Soviet Space Program,1967-05-16 21:43:57+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
R-36O 8K69,OGCh 9,R-36O 8K69,Soviet Space Program,1967-05-17 16:05:02+00:00,161/35,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout A,Transit-O 13,Scout A,United States Air Force,1967-05-18 09:05:01+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 29,Voskhod,Soviet Space Program,1967-05-22 14:00:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Atlas SLV-3 Agena D,KH-7 37,Atlas SLV-3 Agena D,United States Air Force,1967-05-22 18:30:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta E1,IMP F,Thor Delta E1,United States Air Force,1967-05-24 14:05:54+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Molniya-1 5,Molniya 8K78,Soviet Space Program,1967-05-24 22:50:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout B,ESRO 2A,Scout B,European Space Research Organisation,1967-05-30 02:06:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure
Thor SLV-2 Agena D,"Poppy 7A,B,C,D",Thor SLV-2 Agena D,United States Air Force,1967-05-31 09:30:48+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 30,Voskhod,Soviet Space Program,1967-06-01 10:40:02+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,KH-7 38,Atlas SLV-3 Agena D,United States Air Force,1967-06-04 18:07:01+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos 11K63,DS-U2-MP 2,Kosmos 11K63,Soviet Space Program,1967-06-05 05:03:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Voskhod,Zenit-2 50,Voskhod,Soviet Space Program,1967-06-08 13:00:01+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Molniya-M,Venera-4,Molniya-M,Soviet Space Program,1967-06-12 02:39:45+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos 11K63,DS-P1-Yu 8,Kosmos 11K63,Soviet Space Program,1967-06-12 18:06:00+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Atlas SLV-3 Agena D,Mariner 5,Atlas SLV-3 Agena D,United States Air Force,1967-06-14 06:01:00+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos 11K63,DS-U3-S 1,Kosmos 11K63,Soviet Space Program,1967-06-16 04:44:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Thorad SLV-2G Agena D,KH-4A 42,Thorad SLV-2G Agena D,United States Air Force,1967-06-16 21:35:22+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Molniya-M,Venera-5a,Molniya-M,Soviet Space Program,1967-06-17 02:36:38+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Voskhod,Zenit-4 31,Voskhod,Soviet Space Program,1967-06-20 11:00:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Failure
Titan IIIB,KH-8 6,Titan IIIB,United States Air Force,1967-06-20 16:15:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-3M,Tselina-O-GVM,Kosmos-3M,Soviet Space Program,1967-06-26 04:30:00+00:00,132/2,"Plesetsk Cosmodrome, Russian Federation",Launch Failure
Thor Burner 2,Aurora 1 & SECOR 9,Thor Burner 2,United States Air Force,1967-06-29 21:01:44+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Titan IIIC,IDCSP 16 to 19,Titan IIIC,United States Air Force,1967-07-01 13:15:01+00:00,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-2 51,Voskhod,Soviet Space Program,1967-07-04 05:59:59+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas Centaur D,Surveyor 4,Atlas Centaur D,United States Air Force,1967-07-14 11:53:29+00:00,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Successful
R-36O 8K69,OGCh 10,R-36O 8K69,Soviet Space Program,1967-07-17 16:45:04+00:00,162/36,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta E1,Explorer 35,Thor Delta E1,United States Air Force,1967-07-19 14:19:02+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-4 32,Voskhod,Soviet Space Program,1967-07-21 06:00:04+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor SLV-2A Agena D,Multigroup 2 & Setter 1B,Thor SLV-2A Agena D,United States Air Force,1967-07-25 03:48:10+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas D,"OV1-11,12,86",Atlas D,United States Air Force,1967-07-27 19:00:03+00:00,576B3,"Vandenberg SFB, CA, USA",Launch Failure
Thor SLV-2A Agena D,OGO 4,Thor SLV-2A Agena D,United States Air Force,1967-07-28 14:21:07+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
R-36O 8K69,OGCh 11,R-36O 8K69,Soviet Space Program,1967-07-31 16:45:00+00:00,161/35,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,Lunar Orbiter 5,Atlas SLV-3 Agena D,United States Air Force,1967-08-01 22:33:00+00:00,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful
Thorad SLV-2G Agena D,KH-4A 43,Thorad SLV-2G Agena D,United States Air Force,1967-08-07 21:44:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
R-36O 8K69,OGCh 12,R-36O 8K69,Soviet Space Program,1967-08-08 16:05:02+00:00,162/36,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-4 33,Voskhod,Soviet Space Program,1967-08-09 05:45:18+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
